observation_date,APU0000717311
2017-12-01,4.285
2018-01-01,4.291
2018-02-01,4.267
2018-03-01,4.343
2018-04-01,4.313
2018-05-01,4.294
2018-06-01,
2018-07-01,
2018-08-01,
2018-09-01,4.306
2018-10-01,
2018-11-01,
2018-12-01,
2019-01-01,
2019-02-01,
2019-03-01,
2019-04-01,
2019-05-01,
2019-06-01,
2019-07-01,
2019-08-01,
2019-09-01,
2019-10-01,4.174
2019-11-01,4.197
2019-12-01,4.053
2020-01-01,4.174
2020-02-01,4.250
2020-03-01,4.334
2020-04-01,4.396
2020-05-01,4.466
2020-06-01,4.517
2020-07-01,4.536
2020-08-01,4.504
2020-09-01,4.487
2020-10-01,4.522
2020-11-01,4.485
2020-12-01,4.520
2021-01-01,4.591
2021-02-01,4.673
2021-03-01,4.671
2021-04-01,4.752
2021-05-01,4.566
2021-06-01,4.605
2021-07-01,4.562
2021-08-01,4.726
2021-09-01,4.733
2021-10-01,4.800
2021-11-01,4.816
2021-12-01,4.965
2022-01-01,5.135
2022-02-01,5.247
2022-03-01,5.410
2022-04-01,5.529
2022-05-01,5.835
2022-06-01,5.793
2022-07-01,6.112
2022-08-01,6.235
2022-09-01,6.170
2022-10-01,6.408
2022-11-01,6.356
2022-12-01,6.465
2023-01-01,6.358
2023-02-01,6.351
2023-03-01,6.184
2023-04-01,6.040
2023-05-01,6.094
2023-06-01,6.091
2023-07-01,6.141
2023-08-01,6.091
2023-09-01,6.085
2023-10-01,6.178
2023-11-01,6.169
2023-12-01,6.092
2024-01-01,6.124
2024-02-01,6.094
2024-03-01,5.964
2024-04-01,6.063
2024-05-01,5.991
2024-06-01,6.253
2024-07-01,6.307
2024-08-01,6.311
2024-09-01,6.470
2024-10-01,6.644
2024-11-01,6.868
2024-12-01,6.776
2025-01-01,7.019
2025-02-01,7.246
2025-03-01,7.385
2025-04-01,7.536
2025-05-01,7.931
2025-06-01,8.132
